time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity
2019-6-30-8-58-20-194411,,0.000000,0.000000,0.000000,-0.010317,0.018073,0.938007,-0.002301,0.002428,-0.000197,-4.379682,-1.709862,8.048879,994.479453,32.430000,155.384528,46.543945 
2019-6-30-8-58-20-301176,,0.000000,0.000000,0.000000,-0.011096,0.018431,0.942157,-0.002131,0.001447,-0.001138,-6.982825,-3.548423,12.616586,994.479453,32.430000,155.384528,46.543945 
2019-6-30-8-58-20-408719,,0.000000,0.000000,0.000000,-0.010123,0.017894,0.938468,-0.003533,0.002572,-0.001516,-7.205904,-3.161030,12.873699,994.479453,32.430000,155.384528,46.543945 
2019-6-30-8-58-20-509948,,0.000000,0.000000,0.000000,-0.011096,0.017537,0.940543,-0.001527,0.002196,-0.000396,-6.631589,-3.045361,12.935779,994.479453,32.430000,155.384528,46.543945 
2019-6-30-8-58-20-610851,,0.000000,0.000000,0.000000,-0.011291,0.017358,0.943310,-0.001630,0.001485,-0.000313,-6.990353,-3.388437,13.273988,994.479453,32.430000,155.384528,46.543945 
2019-6-30-8-58-20-715933,,0.000000,0.000000,0.000000,-0.009344,0.017000,0.941235,0.000258,0.001326,0.000701,-6.597972,-3.571321,12.225717,994.470898,32.420000,155.456840,47.161133 
2019-6-30-8-58-20-816800,,0.000000,0.000000,0.000000,-0.009733,0.017715,0.944693,-0.000534,0.001068,0.000210,-6.985353,-2.288197,11.362179,994.470898,32.420000,155.456840,47.161133 
2019-6-30-8-58-20-916894,,0.000000,0.000000,0.000000,-0.009733,0.017537,0.943310,-0.001386,0.000830,0.000222,-6.683978,-4.135912,11.296047,994.470898,32.420000,155.456840,47.161133 
2019-6-30-8-58-21-16903,,0.000000,0.000000,0.000000,-0.009733,0.018968,0.942157,-0.001271,0.001777,0.000286,-6.356044,-3.490495,10.986485,994.470898,32.420000,155.456840,47.161133 
2019-6-30-8-58-21-118020,,0.000000,0.000000,0.000000,-0.009539,0.018968,0.941696,-0.000161,-0.001016,-0.000171,-7.466738,-3.434467,11.344502,994.470898,32.420000,155.456840,47.161133 
2019-6-30-8-58-21-223694,,0.000000,0.000000,0.000000,-0.010707,0.018431,0.938698,-0.001645,0.000471,-0.001159,-7.422134,-2.953913,11.100397,994.506445,32.430000,155.156369,45.464844 
2019-6-30-8-58-21-323797,,0.000000,0.000000,0.000000,-0.009928,0.017715,0.944463,-0.000965,-0.001741,0.000475,-6.818301,-3.277429,11.527300,994.506445,32.430000,155.156369,45.464844 
2019-6-30-8-58-21-426674,,0.000000,0.000000,0.000000,-0.010512,0.018252,0.940312,-0.000837,-0.000140,0.000463,-6.093626,-3.103248,10.848922,994.506445,32.430000,155.156369,45.464844 
2019-6-30-8-58-21-534023,,0.000000,0.000000,0.000000,-0.007787,0.015926,0.946307,-0.000804,0.000340,-0.000507,-6.456951,-2.895463,10.392145,994.506445,32.430000,155.156369,45.464844 
2019-6-30-8-58-21-634661,,0.000000,0.000000,0.000000,-0.013043,0.019863,0.936854,0.000684,0.000811,-0.000040,-5.754230,-3.017773,10.324238,994.506445,32.430000,155.156369,45.464844 
2019-6-30-8-58-21-760034,,0.000000,0.000000,0.000000,-0.007981,0.015389,0.946077,-0.000409,0.001271,0.000009,-6.338327,-2.906558,9.567297,994.506445,32.430000,155.156369,46.521484 
2019-6-30-8-58-21-860707,,0.000000,0.000000,0.000000,-0.011096,0.018431,0.942849,-0.000438,0.000642,-0.000431,-6.757070,-3.137197,10.733962,994.506445,32.430000,155.156369,46.521484 
2019-6-30-8-58-21-961500,,0.000000,0.000000,0.000000,-0.011875,0.017715,0.939851,0.000116,-0.001548,0.000611,-7.052995,-3.187992,11.066492,994.506445,32.430000,155.156369,46.521484 
2019-6-30-8-58-22-61501,,0.000000,0.000000,0.000000,-0.010317,0.018073,0.943079,0.000134,-0.001472,0.000122,-6.710046,-2.958675,11.348922,994.506445,32.430000,155.156369,46.521484 
2019-6-30-8-58-22-161702,,0.000000,0.000000,0.000000,-0.010901,0.017894,0.941926,0.001215,0.000652,0.000586,-6.822093,-3.162628,10.215199,994.506445,32.430000,155.156369,46.521484 
2019-6-30-8-58-22-262430,,0.000000,0.000000,0.000000,-0.008565,0.018968,0.941926,-0.000965,0.000684,-0.000003,-5.802774,-3.438888,11.187865,994.497930,32.420000,155.228349,46.587891 
2019-6-30-8-58-22-364974,,0.000000,0.000000,0.000000,-0.009733,0.018610,0.946307,-0.000853,-0.001332,0.000519,-5.568830,-3.693176,11.389114,994.497930,32.420000,155.228349,46.587891 
2019-6-30-8-58-22-474405,,0.000000,0.000000,0.000000,-0.009149,0.018252,0.946077,0.000727,-0.000308,-0.000508,-6.408835,-3.203938,11.419746,994.497930,32.420000,155.228349,46.587891 
2019-6-30-8-58-22-579969,,0.000000,0.000000,0.000000,-0.010317,0.017358,0.941004,-0.000843,-0.000853,-0.000512,-5.691864,-3.225114,9.878658,994.497930,32.420000,155.228349,46.587891 
2019-6-30-8-58-22-708959,,0.000000,0.000000,0.000000,-0.010123,0.016105,0.943079,-0.000789,0.000748,-0.000584,-6.608257,-2.633171,9.633450,994.549883,32.440000,154.789212,46.263672 
2019-6-30-8-58-22-809306,,0.000000,0.000000,0.000000,-0.012264,0.018610,0.943310,0.000220,0.001190,-0.001035,-6.179848,-2.867779,9.203109,994.549883,32.440000,154.789212,46.263672 
2019-6-30-8-58-22-910609,,0.000000,0.000000,0.000000,-0.011096,0.019147,0.942618,-0.000311,0.001208,0.000023,-5.969322,-2.837419,9.979821,994.549883,32.440000,154.789212,46.263672 
2019-6-30-8-58-23-11148,,0.000000,0.000000,0.000000,-0.010123,0.017537,0.941004,-0.000194,0.001620,0.001058,-5.885204,-3.520022,10.145625,994.549883,32.440000,154.789212,46.263672 
2019-6-30-8-58-23-112106,,0.000000,0.000000,0.000000,-0.010707,0.018252,0.944232,-0.001271,0.001036,0.000082,-6.963452,-3.254052,9.605826,994.549883,32.440000,154.789212,46.263672 
2019-6-30-8-58-23-228673,,0.000000,0.000000,0.000000,-0.011291,0.017358,0.940543,-0.000678,-0.000009,-0.000453,-5.683959,-3.990493,10.396251,994.433633,32.430000,155.771848,46.769531 
2019-6-30-8-58-23-328902,,0.000000,0.000000,0.000000,-0.010317,0.017000,0.944693,-0.001092,-0.000006,-0.000999,-7.460619,-2.993174,9.378173,994.433633,32.430000,155.771848,46.769531 
2019-6-30-8-58-23-428948,,0.000000,0.000000,0.000000,-0.010317,0.018252,0.943540,0.000013,-0.001080,0.000088,-5.754380,-3.340255,9.901441,994.433633,32.430000,155.771848,46.769531 
