time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-3-54-56-1962,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.607656,28.890000,95.304844,43.368164,0.000000 
2019-7-6-3-54-56-125506,,0.000000,0.000000,0.000000,-0.052365,0.754430,-0.000371,-0.000528,-0.000004,-0.001422,66.265572,6.420598,-48.169586,1001.607656,28.890000,95.304844,43.368164,0.756245 
2019-7-6-3-54-56-245155,,0.000000,0.000000,0.000000,-0.055285,0.753356,-0.000927,-0.000461,0.000788,-0.001506,69.700485,6.295886,-51.417881,1001.607656,28.890000,95.304844,43.368164,0.755382 
2019-7-6-3-54-56-354053,,0.000000,0.000000,0.000000,-0.055674,0.753356,-0.001484,0.000261,0.000170,-0.001148,70.197044,5.722094,-50.543308,1001.607656,28.890000,95.304844,43.368164,0.755412 
2019-7-6-3-54-56-460065,,0.000000,0.000000,0.000000,-0.054701,0.753356,-0.000556,-0.000067,-0.000420,-0.000895,69.983322,6.802841,-51.506592,1001.607656,28.890000,95.304844,43.368164,0.755339 
2019-7-6-3-54-56-580977,,0.000000,0.000000,0.000000,-0.054311,0.753893,-0.002040,-0.000541,0.000387,0.000324,70.888611,7.152312,-52.210514,1001.662656,28.890000,94.842627,43.435547,0.755849 
2019-7-6-3-54-56-685439,,0.000000,0.000000,0.000000,-0.055674,0.754072,-0.000185,-0.001499,-0.000207,-0.001103,69.660645,6.767345,-51.704117,1001.662656,28.890000,94.842627,43.435547,0.756124 
2019-7-6-3-54-56-792265,,0.000000,0.000000,0.000000,-0.053533,0.754608,0.001614,-0.001894,-0.000175,-0.001493,69.836761,6.627574,-51.654728,1001.662656,28.890000,94.842627,43.435547,0.756507 
2019-7-6-3-54-56-910278,,0.000000,0.000000,0.000000,-0.056063,0.753714,-0.000742,0.000744,-0.000672,-0.001362,70.222580,7.161232,-50.897030,1001.662656,28.890000,94.842627,43.435547,0.755796 
2019-7-6-3-54-57-11986,,0.000000,0.000000,0.000000,-0.054506,0.754430,0.003228,-0.000268,-0.000162,0.000378,69.777832,7.229524,-51.310638,992.577461,23.240000,171.474285,42.110352,0.756403 
2019-7-6-3-54-57-117440,,0.000000,0.000000,0.000000,-0.055674,0.753535,-0.001298,0.000254,0.000850,-0.000556,69.949730,7.230297,-50.881321,992.577461,23.240000,171.474285,42.110352,0.755590 
2019-7-6-3-54-57-224768,,0.000000,0.000000,0.000000,-0.055090,0.754072,0.001383,0.000914,0.001268,0.000506,71.932739,6.706475,-50.084435,992.577461,23.240000,171.474285,42.110352,0.756083 
2019-7-6-3-54-57-331100,,0.000000,0.000000,0.000000,-0.057037,0.754787,0.003459,-0.000178,0.000173,-0.000501,72.356071,7.367622,-49.655251,992.577461,23.240000,171.474285,42.110352,0.756947 
2019-7-6-3-54-57-431922,,0.000000,0.000000,0.000000,-0.053922,0.749419,-0.000742,-0.000180,0.000627,-0.000497,71.222656,7.787599,-49.467342,992.577461,23.240000,171.474285,42.110352,0.751357 
2019-7-6-3-54-57-532286,,0.000000,0.000000,0.000000,-0.055869,0.753893,0.002767,0.000387,0.001604,0.000053,70.941589,7.434607,-50.590244,1001.711719,28.870000,94.430326,43.265625,0.755965 
2019-7-6-3-54-57-633094,,0.000000,0.000000,0.000000,-0.054311,0.754787,-0.000927,-0.000197,0.000507,-0.000458,70.146820,6.683467,-51.775276,1001.711719,28.870000,94.430326,43.265625,0.756739 
2019-7-6-3-54-57-734071,,0.000000,0.000000,0.000000,-0.055869,0.754430,0.000000,-0.000640,-0.000143,0.000650,70.019493,7.533225,-51.671787,1001.711719,28.870000,94.430326,43.265625,0.756495 
2019-7-6-3-54-57-838535,,0.000000,0.000000,0.000000,-0.055090,0.754787,0.000461,0.000408,0.000890,0.001693,70.189705,6.628656,-52.282074,1001.711719,28.870000,94.430326,43.265625,0.756795 
2019-7-6-3-54-57-993645,,0.000000,0.000000,0.000000,-0.054506,0.756398,-0.000371,0.000417,-0.000154,-0.003042,70.046791,7.495778,-51.572559,1001.711719,28.870000,94.430326,43.265625,0.758359 
2019-7-6-3-54-58-104280,,0.000000,0.000000,0.000000,-0.053533,0.754430,0.004381,-0.001648,0.000422,-0.000328,69.335938,5.481172,-52.268757,1001.643281,28.890000,95.005451,43.414062,0.756339 
2019-7-6-3-54-58-221190,,0.000000,0.000000,0.000000,-0.056063,0.754787,-0.003710,-0.002736,-0.002315,0.001884,70.534172,6.921724,-52.257725,1001.643281,28.890000,95.005451,43.414062,0.756876 
2019-7-6-3-54-58-321744,,0.000000,0.000000,0.000000,-0.055674,0.753177,-0.001484,-0.000538,-0.000577,0.000198,70.313232,6.854740,-52.707977,1001.643281,28.890000,95.005451,43.414062,0.755233 
2019-7-6-3-54-58-426409,,0.000000,0.000000,0.000000,-0.058594,0.754966,-0.003710,0.001552,0.002073,-0.002917,70.081207,7.433367,-51.962395,1001.643281,28.890000,95.005451,43.414062,0.757246 
2019-7-6-3-54-58-556101,,0.000000,0.000000,0.000000,-0.054701,0.750851,-0.003524,0.000456,0.001027,-0.003559,71.139870,6.217694,-52.488472,989.889648,21.780000,194.254250,42.810547,0.752849 
2019-7-6-3-54-58-666186,,0.000000,0.000000,0.000000,-0.054311,0.754251,-0.004452,-0.000132,-0.001081,0.002179,70.616295,6.396673,-51.863033,989.889648,21.780000,194.254250,42.810547,0.756217 
2019-7-6-3-54-58-772379,,0.000000,0.000000,0.000000,-0.054311,0.752640,0.003689,0.000319,0.000081,0.001589,69.905861,7.225651,-51.484138,989.889648,21.780000,194.254250,42.810547,0.754606 
2019-7-6-3-54-58-933621,,0.000000,0.000000,0.000000,-0.057815,0.753177,0.003459,-0.000200,0.000544,0.000092,69.806061,7.015505,-51.636623,989.889648,21.780000,194.254250,42.810547,0.755401 
2019-7-6-3-54-59-62297,,0.000000,0.000000,0.000000,-0.058010,0.754608,-0.002040,0.000406,-0.000502,-0.001889,70.625671,6.601615,-51.526855,1001.720781,28.920000,94.354170,43.808594,0.756838 
2019-7-6-3-54-59-162661,,0.000000,0.000000,0.000000,-0.053533,0.754966,-0.000556,-0.001085,0.000595,0.001718,68.600784,7.527252,-52.004726,1001.720781,28.920000,94.354170,43.808594,0.756862 
2019-7-6-3-54-59-266567,,0.000000,0.000000,0.000000,-0.056842,0.752461,0.001845,-0.000535,-0.001568,0.001293,69.378464,7.132010,-51.818783,1001.720781,28.920000,94.354170,43.808594,0.754607 
2019-7-6-3-54-59-368100,,0.000000,0.000000,0.000000,-0.053338,0.751924,-0.003895,-0.000627,-0.002694,0.001850,69.972267,6.935580,-51.753540,1001.720781,28.920000,94.354170,43.808594,0.753824 
2019-7-6-3-54-59-468663,,0.000000,0.000000,0.000000,-0.052559,0.750672,0.001383,0.003152,0.003725,-0.002029,71.090660,6.943922,-50.376617,1001.720781,28.920000,94.354170,43.808594,0.752511 
2019-7-6-3-54-59-569308,,0.000000,0.000000,0.000000,-0.050807,0.751924,0.004150,-0.001577,0.000066,0.002652,72.189102,7.800360,-49.048027,1001.663594,28.940000,94.834748,43.821289,0.753650 
2019-7-6-3-54-59-669487,,0.000000,0.000000,0.000000,-0.049639,0.755682,0.001383,-0.001070,-0.000939,0.003671,71.690300,7.728042,-50.073315,1001.663594,28.940000,94.834748,43.821289,0.757312 
2019-7-6-3-54-59-770450,,0.000000,0.000000,0.000000,-0.056842,0.754251,0.004381,-0.002667,-0.001047,0.001157,71.779121,6.748333,-50.182098,1001.663594,28.940000,94.834748,43.821289,0.756402 
2019-7-6-3-54-59-871898,,0.000000,0.000000,0.000000,-0.054895,0.753356,0.001383,0.001061,0.002119,-0.003582,71.024635,6.344940,-50.790947,1001.663594,28.940000,94.834748,43.821289,0.755355 
2019-7-6-3-54-59-972757,,0.000000,0.000000,0.000000,-0.051975,0.754966,0.002767,0.001073,-0.000402,0.002762,70.275597,6.350746,-51.480545,1001.663594,28.940000,94.834748,43.821289,0.756758 
2019-7-6-3-55-0-98587,,0.000000,0.000000,0.000000,-0.054895,0.754430,0.005073,-0.000636,0.000124,0.001226,70.781342,6.997089,-50.804684,1001.073633,28.280000,99.793814,43.445312,0.756441 
2019-7-6-3-55-0-199586,,0.000000,0.000000,0.000000,-0.053338,0.752461,0.001614,0.001447,0.000613,-0.000514,70.111702,6.930946,-51.432793,1001.073633,28.280000,99.793814,43.445312,0.754351 
2019-7-6-3-55-0-299988,,0.000000,0.000000,0.000000,-0.057231,0.754966,-0.000556,-0.000085,-0.000452,0.000107,70.563568,5.414765,-49.539448,1001.073633,28.280000,99.793814,43.445312,0.757133 
2019-7-6-3-55-0-400199,,0.000000,0.000000,0.000000,-0.049445,0.755503,0.008070,-0.000074,0.000638,-0.001086,71.269089,6.955610,-50.398968,1001.073633,28.280000,99.793814,43.445312,0.757162 
