time,motor, para, direct
2019-7-6-4-25-28-615883,0,0,0
2019-7-6-4-25-29-616812,0,0,0
2019-7-6-4-25-30-619103,0,0,0
2019-7-6-4-25-31-619417,0,0,0
2019-7-6-4-25-32-629640,0,0,0
2019-7-6-4-25-33-630996,0,0,0
2019-7-6-4-25-34-686579,0,0,0
2019-7-6-4-25-35-687898,0,0,0
2019-7-6-4-25-36-691215,0,0,0
2019-7-6-4-25-37-716211,0,0,0
2019-7-6-4-25-38-716378,0,0,0
2019-7-6-4-25-39-717492,0,0,0
2019-7-6-4-25-40-739220,0,0,0
2019-7-6-4-25-41-745297,0,0,0
2019-7-6-4-25-42-746440,0,0,0
2019-7-6-4-25-43-755525,0,0,0
2019-7-6-4-25-44-860141,0,0,0
2019-7-6-4-25-45-863306,0,0,0
2019-7-6-4-25-46-864346,0,0,0
2019-7-6-4-25-47-866751,0,0,0
2019-7-6-4-25-48-911255,0,0,0
2019-7-6-4-25-49-911644,0,0,0
2019-7-6-4-25-50-917447,0,0,0
2019-7-6-4-25-51-932397,0,0,0
2019-7-6-4-25-52-932797,0,0,0
2019-7-6-4-25-53-936020,0,0,0
