time,motor, para, direct
2019-7-6-3-53-15-134834,0,0,0
2019-7-6-3-53-16-143758,0,0,0
2019-7-6-3-53-17-144691,0,0,0
2019-7-6-3-53-18-200675,0,0,0
2019-7-6-3-53-19-201000,0,0,0
2019-7-6-3-53-20-217809,0,0,0
2019-7-6-3-53-21-235928,0,0,0
2019-7-6-3-53-22-237135,0,0,0
2019-7-6-3-53-23-328007,0,0,0
2019-7-6-3-53-24-331517,0,0,0
2019-7-6-3-53-25-334009,0,0,0
2019-7-6-3-53-26-335207,0,0,0
2019-7-6-3-53-27-354270,0,0,0
2019-7-6-3-53-28-354846,0,0,0
2019-7-6-3-53-29-380559,0,0,0
2019-7-6-3-53-30-386663,0,0,0
2019-7-6-3-53-31-397594,0,0,0
2019-7-6-3-53-32-398767,0,0,0
2019-7-6-3-53-33-401836,0,0,0
2019-7-6-3-53-34-414812,0,0,0
2019-7-6-3-53-35-415626,0,0,0
2019-7-6-3-53-36-421147,0,0,0
2019-7-6-3-53-37-421533,0,0,0
2019-7-6-3-53-38-437530,0,0,0
2019-7-6-3-53-39-437843,0,0,0
2019-7-6-3-53-40-438634,0,0,0
2019-7-6-3-53-41-456618,0,0,0
2019-7-6-3-53-42-466961,0,0,0
2019-7-6-3-53-43-468094,0,0,0
2019-7-6-3-53-44-468396,0,0,0
2019-7-6-3-53-45-485192,0,0,0
2019-7-6-3-53-46-488136,0,0,0
2019-7-6-3-53-47-489260,0,0,0
