time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-3-53-51-407972,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.722617,29.020000,94.338742,43.930664,0.000000 
2019-7-6-3-53-51-525995,,0.000000,0.000000,0.000000,-0.079228,0.753893,0.073556,0.001728,0.002394,-0.001499,70.101311,8.758335,-49.994587,1001.722617,29.020000,94.338742,43.930664,0.761605 
2019-7-6-3-53-51-627438,,0.000000,0.000000,0.000000,-0.075335,0.753356,0.077475,0.001260,0.005703,-0.001594,74.249962,8.802066,-53.098671,1001.722617,29.020000,94.338742,43.930664,0.761067 
2019-7-6-3-53-51-746866,,0.000000,0.000000,0.000000,-0.078255,0.752819,0.073786,0.000840,0.001888,0.001803,74.512939,9.147319,-53.693634,1001.722617,29.020000,94.338742,43.930664,0.760463 
2019-7-6-3-53-51-853413,,0.000000,0.000000,0.000000,-0.078255,0.754072,0.076323,0.001464,0.000183,-0.001916,74.530067,8.853299,-53.181618,1001.722617,29.020000,94.338742,43.930664,0.761953 
2019-7-6-3-53-51-963316,,0.000000,0.000000,0.000000,-0.077671,0.752819,0.076553,0.000479,0.003746,-0.001517,74.278770,9.387859,-53.494942,1001.728594,29.040000,94.288519,44.167969,0.760677 
2019-7-6-3-53-52-70238,,0.000000,0.000000,0.000000,-0.074946,0.752998,0.074247,0.001639,0.006072,0.000657,74.388176,8.786489,-53.482895,1001.728594,29.040000,94.288519,44.167969,0.760352 
2019-7-6-3-53-52-186545,,0.000000,0.000000,0.000000,-0.074557,0.752819,0.075170,-0.000442,0.001383,0.000769,74.571754,9.423252,-52.843880,1001.728594,29.040000,94.288519,44.167969,0.760227 
2019-7-6-3-53-52-322501,,0.000000,0.000000,0.000000,-0.076698,0.752998,0.075400,0.001528,-0.004198,-0.000742,74.828644,8.781803,-53.678638,1001.728594,29.040000,94.288519,44.167969,0.760640 
2019-7-6-3-53-52-423312,,0.000000,0.000000,0.000000,-0.076114,0.751387,0.077475,0.001073,-0.000088,0.001396,74.679718,8.889674,-54.017799,1001.717617,29.050000,94.380759,44.055664,0.759196 
2019-7-6-3-53-52-537318,,0.000000,0.000000,0.000000,-0.074946,0.753177,0.078628,0.000459,-0.000003,-0.000218,74.797333,9.769394,-53.525150,1001.717617,29.050000,94.380759,44.055664,0.760970 
2019-7-6-3-53-52-653848,,0.000000,0.000000,0.000000,-0.074946,0.752640,0.075400,-0.000119,-0.002110,0.001284,75.289833,9.260460,-53.861973,1001.717617,29.050000,94.380759,44.055664,0.760111 
2019-7-6-3-53-52-758466,,0.000000,0.000000,0.000000,-0.079812,0.751566,0.075861,-0.001085,-0.002810,0.001337,75.505623,9.711499,-51.874622,1001.717617,29.050000,94.380759,44.055664,0.759590 
2019-7-6-3-53-52-866166,,0.000000,0.000000,0.000000,-0.077282,0.752819,0.075170,-0.000577,0.000833,-0.000783,76.633209,9.071950,-50.871822,1001.717617,29.050000,94.380759,44.055664,0.760499 
2019-7-6-3-53-52-965907,,0.000000,0.000000,0.000000,-0.074946,0.752282,0.078167,0.001093,0.003681,0.000164,75.873619,9.307918,-52.427296,1001.751406,29.070000,94.096820,44.640625,0.760037 
2019-7-6-3-53-53-66671,,0.000000,0.000000,0.000000,-0.075140,0.752998,0.077014,-0.000471,-0.001435,0.000200,75.643318,8.996223,-52.720654,1001.751406,29.070000,94.096820,44.640625,0.760647 
